year,region_cod,total_area_m2,complete_survey
1911,CA1,66960688,TRUE
1911,CA2,67355817,TRUE
1911,CA3,303574275.25326395,TRUE
1989,CA1,14763664.6599887,TRUE
1989,CA2,44916774.1818664,TRUE
1989,CA3,45311628.73389384,TRUE
1999,CA1,8454910.564055,TRUE
1999,CA2,6517722.91723288,TRUE
1999,CA3,28238067.85411605,TRUE
2002,CA1,5243467.043801436,TRUE
2002,CA2,32486057.06254235,TRUE
2002,CA3,33253609.693925664,TRUE
2003,CA1,3476577.41211586,TRUE
2003,CA2,23084641.4587995,TRUE
2003,CA3,66082586.7146784,TRUE
2004,CA1,4918241.24577187,TRUE
2004,CA2,28896874.24392139,TRUE
2004,CA3,82590352.03636391,TRUE
2005,CA1,2432291.7984321998,TRUE
2005,CA2,23423633.002170898,TRUE
2005,CA3,84150445.13859014,TRUE
2006,CA2,43250621.690289,FALSE
2006,CA3,40646336.39647637,FALSE
2008,CA1,14775712.534402154,TRUE
2008,CA2,26395509.817487724,TRUE
2008,CA3,40429024.12299482,TRUE
2009,CA1,7600121.39440928,FALSE
2009,CA2,174261.41938722,FALSE
2009,CA3,20264430.350917,FALSE
2010,CA1,3291665.8057101998,FALSE
2010,CA2,36722.805606300004,FALSE
2010,CA3,27086583.903485,FALSE
2011,CA3,226114979.6705152,FALSE
2012,CA3,31852539.6474263,FALSE
2013,CA1,298246.840884,FALSE
2013,CA3,9952220.885577617,FALSE
2014,CA1,923190.04183431,FALSE
2014,CA2,10086356.21488996,FALSE
2014,CA3,6942992.8568998175,FALSE
2015,CA1,653524.4090294801,TRUE
2015,CA2,23712225.0729486,TRUE
2015,CA3,22684095.62057931,TRUE
2016,CA1,2009818.1499953,TRUE
2016,CA2,33954500.2808216,TRUE
2016,CA3,17710894.23170081,TRUE
